country,year,population,continent,life_exp,gdp_cap,ln_population,ln_life_exp,ln_gdpPercap
Albania,1997,3428038,Europe,72.95,3193.054604,6.535045627,1.863025296,8.068733294
Albania,2002,3508512,Europe,75.651,4604.211737,6.545122966,1.878814673,8.434726759
Albania,2007,3600523,Europe,76.423,5937.029526,6.55636559,1.883224082,8.688964207
Algeria,1952,9279525,Africa,43.077,2449.008185,6.967525746,1.63424545,7.803438399
Algeria,1957,10270856,Africa,45.685,3013.976023,7.01160664,1.659773629,8.011015424
Algeria,1962,11000948,Africa,48.303,2550.81688,7.041430112,1.683974105,7.844168932
Algeria,1967,12760499,Africa,51.407,3246.991771,7.105867658,1.71102226,8.085484238
Algeria,1972,14760787,Africa,54.518,4182.663766,7.169109513,1.736539915,8.338703587
Algeria,1977,17152804,Africa,58.014,4910.416756,7.234335125,1.763532811,8.499114096
Algeria,1982,20033753,Africa,61.368,5745.160213,7.301762315,1.78794197,8.656113077
Algeria,1987,23254956,Africa,65.799,5681.358539,7.366515522,1.818219293,8.644945663
Algeria,1992,26298373,Africa,67.744,5023.216647,7.419928881,1.830870836,8.521825774
Algeria,1997,29072015,Africa,69.152,4797.295051,7.463475134,1.839804745,8.475807507
Algeria,2002,31287142,Africa,70.994,5288.040382,7.495365893,1.851221646,8.573203018
Algeria,2007,33333216,Africa,72.301,6223.367465,7.522877217,1.859144304,8.736066432
Angola,1952,4232095,Africa,30.015,3520.610273,6.626555408,1.477338348,8.166389627
Angola,1957,4561361,Africa,31.999,3827.940465,6.659094445,1.505136406,8.2500822
Angola,1962,4826015,Africa,34,4269.276742,6.683588667,1.531478917,8.359199711
Angola,1967,5247469,Africa,35.985,5522.776375,6.719949882,1.556121507,8.616635979
Angola,1972,5894858,Africa,37.928,5473.288005,6.770473348,1.578959942,8.607634813
Angola,1977,6162675,Africa,39.483,3008.647355,6.789769265,1.596410144,8.009245873
Angola,1982,7016384,Africa,39.942,2756.953672,6.84611335,1.601429807,7.921881607
Angola,1987,7874230,Africa,39.906,2430.208311,6.896208096,1.601038198,7.795732257
Angola,1992,8735988,Africa,40.647,2627.845685,6.941312029,1.609028497,7.873919658
Angola,1997,9875024,Africa,40.963,2277.140884,6.99453816,1.612391755,7.730675937
Angola,2002,10866106,Africa,41.003,2773.287312,7.036073937,1.612815633,7.927788651
Angola,2007,12420476,Africa,42.731,4797.231267,7.09413824,1.630743056,8.475794211
Argentina,1952,17876956,Americas,62.485,5911.315053,7.252293571,1.795775774,8.684623599
Argentina,1957,19610538,Americas,64.399,6856.856212,7.292489508,1.808879124,8.833004338
Argentina,1962,21283783,Americas,65.142,7133.166023,7.328048822,1.813861088,8.872510457
Argentina,1967,22934225,Americas,65.634,8052.953021,7.360484069,1.817128873,8.993794138
Argentina,1972,24779799,Americas,67.065,9443.038526,7.394097779,1.826495929,9.153033085
Argentina,1977,26983828,Americas,68.481,10079.02674,7.43110356,1.835570094,9.218211983
Argentina,1982,29341374,Americas,69.942,8997.897412,7.467480447,1.844738047,9.104746208
Argentina,1987,31620918,Americas,70.774,9139.671389,7.499974474,1.849873742,9.120379711
Argentina,1992,33958947,Americas,71.868,9308.41871,7.530954215,1.856535559,9.138674507
Argentina,1997,36203463,Americas,73.275,10967.28195,7.558750114,1.864955827,9.302671751
Argentina,2002,38331121,Americas,74.34,8797.640716,7.58355152,1.871222557,9.082238864
Argentina,2007,40301927,Americas,75.32,12779.37964,7.605325812,1.876910311,9.455588185
Australia,1952,8691212,Oceania,69.12,10039.59564,6.939080344,1.839603729,9.214292118
Australia,1957,9712569,Oceania,70.33,10949.64959,6.987334117,1.847140617,9.301062734
Australia,1962,10794968,Oceania,70.93,12217.22686,7.033221359,1.85082996,9.410602272
Australia,1967,11872264,Oceania,71.1,14526.12465,7.074533545,1.851869601,9.583704007
Australia,1972,13177000,Oceania,71.93,16788.62948,7.119816546,1.85691006,9.72845712
Australia,1977,14074100,Oceania,73.49,18334.19751,7.148420632,1.866228247,9.816523311
Australia,1982,15184200,Oceania,74.74,19477.00928,7.181391915,1.873553094,9.876990038
Australia,1987,16257249,Oceania,76.32,21888.88903,7.211047058,1.882638362,9.993734437
Australia,1992,17481977,Oceania,77.56,23424.76683,7.242590545,1.8896378,10.06154915
Australia,1997,18565243,Oceania,78.83,26997.93657,7.268700638,1.896691527,10.20351572
Australia,2002,19546792,Oceania,80.37,30687.75473,7.291075492,1.905093968,10.33161899
Australia,2007,20434176,Oceania,81.235,34435.36744,7.31035713,1.909743185,10.44683944
Austria,1952,6927772,Europe,66.8,6137.076492,6.840593586,1.824776462,8.722103766
Austria,1957,6965860,Europe,67.48,8842.59803,6.842974742,1.829175074,9.087336007
Austria,1962,7129864,Europe,69.54,10750.72111,6.853081246,1.842234686,9.282728111
Austria,1967,7376998,Europe,70.14,12834.6024,6.867879666,1.845965762,9.459900115
Austria,1972,7544201,Europe,70.63,16661.6256,6.877613251,1.848989206,9.720863486
Austria,1977,7568430,Europe,72.17,19749.4223,6.879005799,1.858356705,9.890879519
Austria,1982,7574613,Europe,73.18,21597.08362,6.879360449,1.864392405,9.980313567
Austria,1987,7578903,Europe,74.94,23687.82607,6.879606349,1.874713689,10.07271653
Austria,1992,7914969,Europe,76.04,27042.01868,6.898449218,1.881042108,10.20514718
Austria,1997,8069876,Europe,77.51,29095.92066,6.906866861,1.889357737,10.27835326
Austria,2002,8148312,Europe,78.98,32417.60769,6.91106765,1.897517129,10.386457
Austria,2007,8199783,Europe,79.829,36126.4927,6.913802359,1.902160689,10.49478174
Bahrain,1952,120447,Asia,50.939,9867.084765,5.080795987,1.707050415,9.196959726
Bahrain,1957,138655,Asia,53.832,11635.79945,5.141935535,1.731040515,9.361841784
Bahrain,1962,171863,Asia,56.923,12753.27514,5.235182388,1.755287781,9.453543391
Bahrain,1967,202182,Asia,59.923,14804.6727,5.305742488,1.777593548,9.602698133
Bahrain,1972,230800,Asia,63.3,18268.65839,5.363235804,1.80140371,9.812942214
Bahrain,1977,297410,Asia,65.593,19340.10196,5.473355567,1.816857495,9.869936041
Bahrain,1982,377967,Asia,69.052,19211.14731,5.577453884,1.839176262,9.863245979
Bahrain,1987,454612,Asia,70.75,18524.02406,5.657640895,1.849726444,9.826823766
Bahrain,1992,529491,Asia,72.601,19035.57917,5.723858583,1.860942603,9.854065095
Bahrain,1997,598561,Asia,73.925,20292.01679,5.777108416,1.868791333,9.917982826
Bahrain,2002,656397,Asia,74.795,23403.55927,5.817166587,1.873872567,10.0606434
Bahrain,2007,708573,Asia,75.635,29796.04834,5.8503846,1.878722811,10.30213106
Bangladesh,1952,46886859,Asia,37.484,684.2441716,7.67105114,1.573845929,6.52831483
Bangladesh,1957,51365468,Asia,39.348,661.6374577,7.710671249,1.594922663,6.494717759
Bangladesh,1962,56839289,Asia,41.216,686.3415538,7.754648637,1.615065841,6.531375396
Bangladesh,1967,62821884,Asia,43.453,721.1860862,7.798110957,1.638019766,6.580897199
Bangladesh,1972,70759295,Asia,45.252,630.2336265,7.849783497,1.655637778,6.446090586
Bangladesh,1977,80428306,Asia,46.923,659.8772322,7.905408922,1.671385771,6.492053806
Bangladesh,1982,93074406,Asia,50.009,676.9818656,7.968830273,1.69904817,6.517644486
Bangladesh,1987,103764241,Asia,52.819,751.9794035,8.016047714,1.722790175,6.622708935
Bangladesh,1992,113704579,Asia,56.018,837.8101643,8.055777955,1.748327599,6.730791541
Bangladesh,1997,123315288,Asia,59.412,972.7700352,8.091016922,1.773874172,6.880147708
Bangladesh,2002,135656790,Asia,62.013,1136.39043,8.132441536,1.792482742,7.035612229
Bangladesh,2007,150448339,Asia,64.062,1391.253792,8.177387397,1.806600493,7.237960628
Belgium,1952,8730405,Europe,68,8343.105127,6.941034391,1.832508913,9.029190743
Belgium,1957,8989111,Europe,69.24,9714.960623,6.953716743,1.840357059,9.181422309
Belgium,1962,9218400,Europe,70.25,10991.20676,6.964655549,1.846646329,9.304850847
Belgium,1967,9556500,Europe,70.94,13149.04119,6.980298864,1.850891184,9.484104122
Belgium,1972,9709100,Europe,71.44,16672.14356,6.987178974,1.853941446,9.721494555
Belgium,1977,9821800,Europe,72.8,19117.97448,6.992191086,1.862131379,9.858384244
Belgium,1982,9856303,Europe,73.93,20979.84589,6.993714046,1.868820706,9.951317536
Belgium,1987,9870200,Europe,75.35,22525.56308,6.994325953,1.877083257,10.02240608
Belgium,1992,10045622,Europe,76.46,25575.57069,7.001976832,1.883434294,10.1493929
Belgium,1997,10199787,Europe,77.53,27561.19663,7.008591103,1.889469784,10.22416414
Belgium,2002,10311970,Europe,78.32,30485.88375,7.013341641,1.893872679,10.32501903
Belgium,2007,10392226,Europe,79.441,33692.60508,7.016708583,1.900044702,10.42503366
Benin,1952,1738315,Africa,38.223,1062.7522,6.240128478,1.58232477,6.968617237
Benin,1957,1925173,Africa,40.358,959.6010805,6.284469762,1.605929636,6.866517657
Benin,1962,2151895,Africa,42.618,949.4990641,6.332821076,1.629593065,6.855934545
Benin,1967,2427334,Africa,44.885,1035.831411,6.385129539,1.65210123,6.942959679
Benin,1972,2761407,Africa,47.014,1085.796879,6.441130421,1.672227203,6.990069447
Benin,1977,3168267,Africa,49.19,1029.161251,6.500821774,1.691876823,6.93649943
Benin,1982,3641603,Africa,50.904,1277.897616,6.561292598,1.70675191,7.152971519
Benin,1987,4243788,Africa,52.337,1225.85601,6.62775368,1.718808825,7.111394663
Benin,1992,4981671,Africa,53.919,1191.207681,6.697375042,1.731741829,7.082722929
Benin,1997,6066080,Africa,54.777,1232.975292,6.782908134,1.738598243,7.117185464
Benin,2002,7026113,Africa,54.406,1372.877931,6.84671513,1.735646797,7.224664495
Benin,2007,8078314,Africa,56.728,1441.284873,6.90732073,1.753797472,7.273290268
Bolivia,1952,2883315,Americas,40.414,2677.326347,6.459892091,1.606531837,7.892573944
Bolivia,1957,3211738,Americas,41.89,2127.686326,6.50674011,1.62211036,7.662790436
Bolivia,1962,3593918,Americas,43.428,2180.972546,6.555568164,1.637769829,7.687526178
Bolivia,1967,4040665,Americas,45.032,2586.886053,6.606452846,1.653521236,7.858210135
Bolivia,1972,4565872,Americas,46.714,2980.331339,6.659523732,1.669447056,7.999789761
Bolivia,1977,5079716,Americas,50.023,3548.097832,6.705839432,1.699169734,8.174166917
Bolivia,1982,5642224,Americas,53.859,3156.510452,6.751450324,1.731258286,8.057222409
Bolivia,1987,6156369,Americas,57.251,2753.69149,6.789324643,1.757783077,7.920697651
Bolivia,1992,6893451,Americas,59.957,2961.699694,6.838436693,1.777839894,7.993518603
Bolivia,1997,7693188,Americas,62.05,3326.143191,6.886106346,1.792741786,8.109568711
Bolivia,2002,8445134,Americas,63.883,3413.26269,6.926606545,1.805385303,8.135423913
Bolivia,2007,9119152,Americas,65.554,3822.137084,6.959954455,1.816599197,8.248564991
Bosnia and Herzegovina,1952,2791000,Europe,53.82,973.5331948,6.445759836,1.730943693,6.880931923
Bosnia and Herzegovina,1957,3076000,Europe,58.45,1353.989176,6.487986331,1.766784515,7.210810459
Bosnia and Herzegovina,1962,3349000,Europe,61.93,1709.683679,6.524915148,1.79190108,7.444063649
Bosnia and Herzegovina,1967,3585000,Europe,64.79,2172.352423,6.55448916,1.81150798,7.683565925
Bosnia and Herzegovina,1972,3819000,Europe,67.45,2860.16975,6.581949658,1.828981954,7.958636255
Bosnia and Herzegovina,1977,4086000,Europe,69.86,3528.481305,6.611298362,1.844228581,8.168622832
Bosnia and Herzegovina,1982,4172693,Europe,70.69,4126.613157,6.620416433,1.849357982,8.325212291
Bosnia and Herzegovina,1987,4338977,Europe,71.14,4314.114757,6.637387348,1.852113861,8.369647428
Bosnia and Herzegovina,1992,4256013,Europe,72.178,2546.781445,6.629002946,1.858404844,7.842585663
Bosnia and Herzegovina,1997,3607000,Europe,73.244,4766.355904,6.557146142,1.864772054,8.46933733
Bosnia and Herzegovina,2002,4165416,Europe,74.09,6018.975239,6.619658381,1.869759595,8.702672298
Bosnia and Herzegovina,2007,4552198,Europe,74.852,7446.298803,6.658221144,1.874203409,8.915472383
Botswana,1952,442308,Africa,47.622,851.2411407,5.645724795,1.677807631,6.74669545
Botswana,1957,474639,Africa,49.618,918.2325349,5.67636342,1.695639255,6.822450665
Botswana,1962,512764,Africa,51.52,983.6539764,5.709917527,1.711975854,6.891274185
Botswana,1967,553541,Africa,53.298,1214.709294,5.743149794,1.726710912,7.102260063
Botswana,1972,619351,Africa,56.024,2263.611114,5.791936843,1.748374113,7.724716655
Botswana,1977,781472,Africa,59.319,3214.857818,5.892913422,1.773193821,8.075538411
Botswana,1982,970347,Africa,61.484,4551.14215,5.986927067,1.788762114,8.423133502
Botswana,1987,1151184,Africa,63.622,6205.88385,6.061144745,1.803607317,8.733253129
Botswana,1992,1342614,Africa,62.745,7954.111645,6.127951171,1.797579124,8.981444262
Botswana,1997,1536536,Africa,52.556,8647.142313,6.18654274,1.720622304,9.064984177
Botswana,2002,1630347,Africa,46.634,11003.60508,6.212280049,1.668702668,9.305978233
Botswana,2007,1639131,Africa,50.728,12569.85177,6.214613664,1.70524774,9.439056509
Brazil,1952,56602560,Americas,50.917,2108.944355,7.752836074,1.706862807,7.653942796
Brazil,1957,65551171,Americas,53.285,2487.365989,7.816580454,1.72660497,7.818979594
Brazil,1962,76039390,Americas,55.665,3336.585802,7.881038624,1.745582213,8.112703348
Brazil,1967,88049823,Americas,57.632,3429.864357,7.944728487,1.760663691,8.140275993
Brazil,1972,100840058,Americas,59.504,4985.711467,8.003633087,1.774546161,8.514331394
Brazil,1977,114313951,Americas,61.489,6660.118654,8.058099235,1.78879743,8.803892579
Brazil,1982,128962939,Americas,63.336,7030.835878,8.110464922,1.801650632,8.858060879
Brazil,1987,142938076,Americas,65.205,7807.095818,8.155147932,1.814280899,8.962788319
Brazil,1992,155975974,Americas,67.057,6950.283021,8.193057706,1.82644412,8.84653766
Brazil,1997,168546719,Americas,69.388,7957.980824,8.226720303,1.84128437,8.981930581
Brazil,2002,179914212,Americas,71.006,8131.212843,8.255065471,1.851295048,9.003465373
Brazil,2007,190010647,Americas,72.39,9065.800825,8.278777937,1.859678577,9.112264462
Bulgaria,1952,7274900,Europe,59.6,2444.286648,6.861827028,1.77524626,7.8015086
Bulgaria,1957,7651254,Europe,66.61,3008.670727,6.88373262,1.823539434,8.009253641
Bulgaria,1962,8012946,Europe,69.51,4254.337839,6.903792216,1.842047289,8.355694409
Bulgaria,1967,8310226,Europe,70.42,5577.0028,6.919612835,1.847696021,8.626406778
Bulgaria,1972,8576200,Europe,70.9,6597.494398,6.9332949,1.850646235,8.794445219
Bulgaria,1977,8797022,Europe,70.81,7612.240438,6.944335678,1.850094594,8.937512815
Bulgaria,1982,8892098,Europe,71.08,8224.191647,6.94900424,1.851747419,9.014835291
Bulgaria,1987,8971958,Europe,71.34,8239.854824,6.952887232,1.853333105,9.016738004
Bulgaria,1992,8658506,Europe,71.19,6302.623438,6.937442962,1.852418993,8.748721244
Bulgaria,1997,8066057,Europe,70.32,5970.38876,6.906661287,1.847078862,8.694567323
Bulgaria,2002,7661799,Europe,72.14,7696.777725,6.884330754,1.858176138,8.948557043
Bulgaria,2007,7322858,Europe,73.005,10680.79282,6.864680613,1.863352605,9.276202344
Burkina Faso,1952,4469979,Africa,31.975,543.2552413,6.650305483,1.504810553,6.297579267
Burkina Faso,1957,4713416,Africa,34.906,617.1834648,6.673335772,1.542900084,6.425166329
Burkina Faso,1962,4919632,Africa,37.814,722.5120206,6.691932618,1.57765262,6.582734057
Burkina Faso,1967,5127935,Africa,40.697,794.8265597,6.709942512,1.609562396,6.678123927
Burkina Faso,1972,5433886,Africa,43.591,854.7359763,6.735110523,1.639396832,6.750792622
Burkina Faso,1977,5889574,Africa,46.137,743.3870368,6.770083883,1.664049352,6.61121682
Burkina Faso,1982,6634596,Africa,48.122,807.1985855,6.821814483,1.682343669,6.693569717
Burkina Faso,1987,7586551,Africa,49.557,912.0631417,6.880044382,1.695105008,6.815709222
Burkina Faso,1992,8878303,Africa,50.26,931.7527731,6.948329963,1.701222484,6.837067515
Burkina Faso,1997,10352843,Africa,50.324,946.2949618,7.015059628,1.701775154,6.852554319
Burkina Faso,2002,12251209,Africa,50.65,1037.645221,7.088178949,1.70457945,6.944709214
Burkina Faso,2007,14326203,Africa,52.295,1217.032994,7.156131101,1.718460167,7.104171204
Burundi,1952,2445618,Africa,39.031,339.2964587,6.388388622,1.591409678,5.826874235
Burundi,1957,2667518,Africa,40.533,379.5646281,6.426107359,1.607808749,5.93902488
Burundi,1962,2961915,Africa,42.045,355.2032273,6.471572591,1.623714357,5.872690097
Burundi,1967,3330989,Africa,43.548,412.9775136,6.522573199,1.638968214,6.023393145
Burundi,1972,3529983,Africa,44.057,464.0995039,6.547772614,1.644014921,6.140098977
Burundi,1977,3834415,Africa,45.91,556.1032651,6.583699115,1.661907293,6.320954006
Burundi,1982,4580410,Africa,47.471,559.603231,6.660904354,1.67642838,6.327228017
Burundi,1987,5126023,Africa,48.211,621.8188189,6.70978055,1.68314614,6.432648762
Burundi,1992,5809236,Africa,44.736,631.6998778,6.76411902,1.65065715,6.448414404
Burundi,1997,6121610,Africa,45.326,463.1151478,6.786865658,1.656347394,6.137975723
Burundi,2002,7021078,Africa,47.36,446.4035126,6.846403798,1.675411694,6.10122328
Burundi,2007,8390505,Africa,49.58,430.0706916,6.923788101,1.695306522,6.063949594
Cambodia,1952,4693836,Asia,39.417,368.4692856,6.671527912,1.595683567,5.909357358
Cambodia,1957,5322536,Asia,41.366,434.0383364,6.726118608,1.616643528,6.073132863
Cambodia,1962,6083619,Asia,43.415,496.9136476,6.784162008,1.637639805,6.208416264
Cambodia,1967,6960067,Asia,45.415,523.4323142,6.84261342,1.657199319,6.260407727
Cambodia,1972,7450606,Asia,40.317,421.6240257,6.872191598,1.605488209,6.044113983
Cambodia,1977,6978607,Asia,31.22,524.9721832,6.843768742,1.494432899,6.263345277
Cambodia,1982,7272485,Asia,50.957,624.4754784,6.861682834,1.707203852,6.436912063
Cambodia,1987,8371791,Asia,53.914,683.8955732,6.922818378,1.731701554,6.527805235
Cambodia,1992,10150094,Asia,55.803,682.3031755,7.006470064,1.746657547,6.525474098
Cambodia,1997,11782962,Asia,56.534,734.28517,7.071254477,1.752309715,6.598897468
Cambodia,2002,12926707,Asia,56.752,896.2260153,7.111487905,1.753981171,6.79819263
Cambodia,2007,14131858,Asia,59.723,1713.778686,7.150199265,1.776141615,7.446455969
Cameroon,1952,5009067,Africa,38.523,1172.667655,6.699756841,1.585720101,7.067036479
Cameroon,1957,5359923,Africa,40.428,1313.048099,6.729158551,1.606682257,7.180106507
Cameroon,1962,5793633,Africa,42.643,1399.607441,6.762950981,1.62984775,7.243947077
Cameroon,1967,6335506,Africa,44.799,1508.453148,6.801781307,1.65126832,7.318839999
Cameroon,1972,7021028,Africa,47.049,1684.146528,6.846400705,1.672550397,7.429014203
Cameroon,1977,7959865,Africa,49.355,1783.432873,6.900905702,1.693331156,7.486295366
Cameroon,1982,9250831,Africa,52.961,2367.983282,6.966180747,1.723956177,7.769793936
Cameroon,1987,10780667,Africa,54.985,2602.664206,7.032645631,1.740244229,7.864290894
Cameroon,1992,12467171,Africa,54.314,1793.163278,7.095767916,1.734911788,7.491736534
Cameroon,1997,14195809,Africa,52.199,1694.337469,7.152160147,1.717662183,7.43504707
Cameroon,2002,15929988,Africa,49.856,1934.011449,7.202215449,1.697717432,7.567351596
Cameroon,2007,17696293,Africa,50.43,2042.09524,7.2478823,1.702688968,7.621731638
Canada,1952,14785584,Americas,68.75,11367.16112,7.169838483,1.837272703,9.338483874
Canada,1957,17010154,Americas,69.96,12489.95006,7.230708245,1.844849801,9.432679605
Canada,1962,18985849,Americas,71.3,13462.48555,7.278430022,1.85308953,9.507662248
Canada,1967,20819767,Americas,72.13,16076.58803,7.318475865,1.858115932,9.685119333
Canada,1972,22284500,Americas,72.88,18970.57086,7.348002894,1.862608364,9.850644155
Canada,1977,23796400,Americas,74.21,22090.88306,7.37651126,1.870462432,10.00292027
Canada,1982,25201900,Americas,75.76,22898.79214,7.401433284,1.879439966,10.03883944
Canada,1987,26549700,Americas,76.86,26626.51503,7.424059618,1.88570038,10.1896628
Canada,1992,28523502,Americas,77.95,26342.88426,7.455202845,1.89181612,10.17895347
Canada,1997,30305843,Americas,78.61,28954.92589,7.481526369,1.895477796,10.27349562
Canada,2002,31902268,Americas,79.77,33328.96507,7.503821559,1.901839592,10.41418212
Canada,2007,33390141,Americas,80.653,36319.23501,7.523618253,1.906620526,10.50010277
Central African Republic,1952,1291695,Africa,35.463,1071.310713,6.111159978,1.549775472,6.976638143
Central African Republic,1957,1392284,Africa,37.464,1190.844328,6.143727832,1.573614145,7.082417854
Central African Republic,1962,1523478,Africa,39.475,1193.068753,6.182836187,1.596322139,7.084284051
Central African Republic,1967,1733638,Africa,41.478,1136.056615,6.238958418,1.617817807,7.035318435
Central African Republic,1972,1927260,Africa,43.457,1070.013275,6.284940308,1.638059742,6.975426334
Central African Republic,1977,2167533,Africa,46.775,1109.374338,6.335965718,1.670013796,7.011551476
Central African Republic,1982,2476971,Africa,48.295,956.7529907,6.393920922,1.68390217,6.86354525
Central African Republic,1987,2840009,Africa,50.485,844.8763504,6.453319716,1.703162361,6.739190286
Central African Republic,1992,3265124,Africa,49.396,747.9055252,6.513899679,1.693691782,6.617276667
Central African Republic,1997,3696513,Africa,46.066,740.5063317,6.567792238,1.663380503,6.607334184
Central African Republic,2002,4048013,Africa,43.308,738.6906068,6.607241899,1.636568128,6.604879169
Central African Republic,2007,4369038,Africa,44.741,706.016537,6.640385822,1.650705687,6.559638661
Chad,1952,2682462,Africa,38.092,1178.665927,6.428533578,1.580833776,7.072138508
Chad,1957,2894855,Africa,39.881,1308.495577,6.461626815,1.60076604,7.176633342
Chad,1962,3150417,Africa,41.716,1389.817618,6.498368042,1.620302659,7.236927807
Chad,1967,3495967,Africa,43.601,1196.810565,6.543567324,1.63949645,7.087415435
Chad,1972,3899068,Africa,45.569,1104.103987,6.590960809,1.658669498,7.006789414
Chad,1977,4388260,Africa,47.383,1133.98495,6.642292351,1.675622554,7.033493213
Chad,1982,4875118,Africa,49.517,797.9081006,6.687985132,1.694754325,6.681993429
Chad,1987,5498955,Africa,51.051,952.386129,6.740280166,1.708004254,6.85897055
Chad,1992,6429417,Africa,51.724,1058.0643,6.808171594,1.713692103,6.964196386
Chad,1997,7562011,Africa,51.573,1004.961353,6.878637305,1.712422395,6.912704365
Chad,2002,8835739,Africa,50.525,1156.18186,6.946242879,1.703506322,7.052878355
Chad,2007,10238807,Africa,50.651,1704.063724,7.010249357,1.704588024,7.440771103
Chile,1952,6377619,Americas,54.745,3939.978789,6.804658571,1.73834446,8.278930619
Chile,1957,7048426,Americas,56.074,4315.622723,6.848092145,1.748761537,8.369996909
Chile,1962,7961258,Americas,57.924,4519.094331,6.900981698,1.762858545,8.416066884
Chile,1967,8858908,Americas,60.523,5106.654313,6.947380192,1.781920447,8.538299735
Chile,1972,9717524,Americas,63.441,5494.024437,6.987555622,1.80237002,8.611416315
Chile,1977,10599793,Americas,67.052,4756.763836,7.025297384,1.826411736,8.46732285
Chile,1982,11487112,Americas,70.565,5095.665738,7.060210855,1.848589346,8.536145602
Chile,1987,12463354,Americas,72.492,5547.063754,7.095634931,1.860290082,8.621024013
Chile,1992,13572994,Americas,74.126,7596.125964,7.132675657,1.869970565,8.935393655
Chile,1997,14599929,Americas,75.816,10118.05318,7.164350744,1.879760868,9.222076551
Chile,2002,15497046,Americas,77.86,10778.78385,7.190248922,1.891314399,9.285335023
Chile,2007,16284741,Americas,78.553,13171.63885,7.211780856,1.895162776,9.485821225
China,1952,556263527,Asia,44,400.448611,8.745280585,1.643452676,5.992585446
China,1957,637408000,Asia,50.54896,575.9870009,8.80441751,1.703712225,6.356085093
China,1962,665770000,Asia,44.50136,487.6740183,8.823324222,1.648373284,6.189647187
China,1967,754550000,Asia,58.38112,612.7056934,8.877688023,1.766272422,6.417884712
China,1972,862030000,Asia,63.11888,676.9000921,8.93552238,1.800159284,6.517523688
China,1977,943455000,Asia,63.96736,741.2374699,8.97472119,1.805958427,6.608321046
China,1982,1000281000,Asia,65.525,962.4213805,9.00012202,1.81640703,6.86945238
China,1987,1084035000,Asia,67.274,1378.904018,9.035043304,1.827847251,7.229044273
China,1992,1164970000,Asia,68.69,1655.784158,9.066314742,1.836893516,7.412029987
China,1997,1230075000,Asia,70.426,2289.234136,9.089931592,1.847733022,7.735972602
China,2002,1280400000,Asia,72.028,3119.280896,9.107345665,1.857501356,8.045357772
China,2007,1318683096,Asia,72.961,4959.114854,9.120140439,1.863090778,8.508982547
Colombia,1952,12350771,Americas,50.643,2144.115096,7.091694069,1.704519425,7.670482204
Colombia,1957,14485993,Americas,55.118,2323.805581,7.160948271,1.74129345,7.750961457
Colombia,1962,17009885,Americas,57.863,2492.351109,7.230701377,1.762400947,7.820981764
Colombia,1967,19764027,Americas,59.963,2678.729839,7.295875439,1.777883353,7.89309802
Colombia,1972,22542890,Americas,61.623,3264.660041,7.353009592,1.789742837,8.090910914
Colombia,1977,25094412,Americas,63.837,3815.80787,7.399577024,1.805072469,8.246907683
Colombia,1982,27764644,Americas,66.653,4397.575659,7.443492109,1.823819701,8.388808681
Colombia,1987,30964245,Americas,67.768,4903.2191,7.490860495,1.831024669,8.497647228
Colombia,1992,34202721,Americas,68.421,5444.648617,7.534060658,1.835189417,8.6023885
Colombia,1997,37657830,Americas,70.313,6117.361746,7.575855291,1.847035628,8.718886195
Colombia,2002,41008227,Americas,71.682,5755.259962,7.612870993,1.855410114,8.657869492
Colombia,2007,44227550,Americas,72.889,7006.580419,7.645692882,1.862661992,8.854605046
Comoros,1952,153936,Africa,40.715,1102.990936,5.187340197,1.609754439,7.005780802
